search URL:,https://patents.google.com/?q=TAC%253d%22biogas%22&country=BR
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
BR-112018012788-B1,METHOD AND FACILITY TO PRODUCE BIOMETHANE BY PURIFICATION OF BIOGAS FROM NON-HAZARDOUS WASTE STORAGE FACILITIES ,Waga Energy,"Guénaël PRINCE, Mathieul Lefebvre, Pierre Briend, Nicolas Paget",2015-12-24,2016-11-10,2022-12-13,,https://patents.google.com/patent/BR112018012788B1/en,https://patentimages.storage.googleapis.com/66/fb/5e/f3b0393ef74620/img0001.png
BR-112012028650-B1,BIOGAS PRODUCTION PROCESS ,Solvay Sa,"Jan Bach, Jorg Burgstaler, Denny Wiedow, Frederik Degraeve",2010-05-10,2011-05-10,2019-04-30,,https://patents.google.com/patent/BR112012028650B1/en,
BR-112019015559-A2,PROCESS AND DEVICE TO PRODUCE BIOGAS ,Herbst Umwelttechnik Gmbh,"Spahr Marcel, Fechter Leonhard",2017-01-30,2018-01-29,2020-03-17,,https://patents.google.com/patent/BR112019015559A2/en,
BR-PI0617206-A2,process for using biomass in a biogas generation process ,Kwk Gbr,Thomas Weidele,2005-09-30,2006-09-15,2011-07-19,,https://patents.google.com/patent/BRPI0617206A2/en,
BR-112012018422-A2,biogas production process with enzymatic pretreatment. ,Novozymes As,Hans Sejr Olsen,2010-01-29,2011-01-24,2015-09-15,,https://patents.google.com/patent/BR112012018422A2/en,
BR-PI0812152-A2,fermenter for biogas generation from pumpable organic material ,"Wilhelm Gantefort, Juergen Beck","Wilhelm Gantefort, Juergen Beck",2007-05-23,2008-05-16,2011-08-16,,https://patents.google.com/patent/BRPI0812152A2/en,
BR-PI0802137-A2,"biogas plant for the production of biogas from biomass, and methods for operating the biogas plant ",Bekon Energy Technologies Gmbh & Co Kg,Peter Lutz,2007-05-29,2008-05-29,2009-12-08,,https://patents.google.com/patent/BRPI0802137A2/en,
BR-102016004349-A2,device and method for simultaneously removing hydrogen sulfide and biogas enhancement ,Fcc Aqualia S A,"Bernardo Llamas Moya, Enrique Lara Corona, Ignacio De Godos Crespo, José Ramón Santiago Costa, Raúl Cano Herranz",2015-02-27,2016-02-26,2016-09-20,,https://patents.google.com/patent/BR102016004349A2/en,
BR-112012022972-A2,process for the absorbent drying of purified biogas and the regeneration of charged absorbing agents. ,Dge Dr-Ing Günther Eng Gmbh,Lothar Günther,2010-03-12,2011-03-08,2017-03-21,,https://patents.google.com/patent/BR112012022972A2/en,
BR-112016022594-B1,PROCESS AND SYSTEM FOR THE OPTIMIZATION OF BIOGAS PRODUCTION ,Ductor Oy,"Ari Ketola, Kerttu Koskenniemi, Minna Lahtinen, Jarkko Nummela, Nina Virolainen, Ilkka Virkajãrvi",2014-04-01,2015-03-31,2022-11-16,,https://patents.google.com/patent/BR112016022594B1/en,https://patentimages.storage.googleapis.com/1f/73/6a/166d345fd9fc92/img0007.png
BR-PI0900889-A2,"combined plant for biogas and fertilizer production, and methods for exchanging a fermenter in a combined plant for biogas production and composting and for starting a fermenter ",Bekon Energy Technologies Gmbh & Co Kg,Peter Lutz,2008-03-20,2009-03-16,2010-04-06,,https://patents.google.com/patent/BRPI0900889A2/en,
BR-112015010492-B1,"EQUIPMENT FOR GAS SEPARATION, INSTALLATION FOR THE PRODUCTION OF BIOGAS, AND METHODS FOR ITS CONTROL ",Evonik Fibres Gmbh,"Markus Ungerank, Harald Roegl",2012-11-14,2013-10-09,2021-10-05,,https://patents.google.com/patent/BR112015010492B1/en,https://patentimages.storage.googleapis.com/27/a6/7a/1c20a8fa26afa2/img0009.png
BR-PI0707469-A2,device and process for generating biogas from organic materials ,Eltaga Licensing Gmbh,Gunter Perske,2006-02-03,2007-02-02,2011-05-03,,https://patents.google.com/patent/BRPI0707469A2/en,
BR-112013028614-A2,biogas plant ,Società Agricola Rofin S R L,Armando Berasi,2011-05-06,2012-05-07,2016-08-09,,https://patents.google.com/patent/BR112013028614A2/en,
BR-112013027793-A2,method for separating and purifying methane from a biogas and system for separating and purifying methane from a biogas stream ,"A R C Technologies Corp, Dennis C Siegel, Stanley M Siegel","Dennis C Siegel, Stanley M Siegel",2011-04-29,2011-05-16,2017-01-10,,https://patents.google.com/patent/BR112013027793A2/en,
BR-112013001025-A2,"Integrated biogas cleaning system to remove water, siloxanes, sulfur, oxygen, chlorides, and volatile organic compounds ",Quadrogen Power Systems Inc,"Alakh Prasad, Kevin Marchand",2010-07-15,2011-07-15,2016-05-24,,https://patents.google.com/patent/BR112013001025A2/en,
BR-112013013136-A2,biogas production process ,Novozymes As,Hans Sejr Olsen,2011-01-04,2011-12-22,2016-07-12,,https://patents.google.com/patent/BR112013013136A2/en,
BR-112013000541-A2,process to convert biogas to a methane rich gas ,Haldor Topsoe As,John Bogild Hansen,2010-07-09,2010-07-09,2016-05-24,,https://patents.google.com/patent/BR112013000541A2/en,
BR-PI0905156-A2,biogas plant for biomass methanization having high solids fraction ,Bekon Energy Technologies Gmbh,Peter Lutz,2008-12-23,2009-12-18,2010-11-03,,https://patents.google.com/patent/BRPI0905156A2/en,
BR-112015011252-B1,PROCESS TO PRODUCE BIOGAS AND/OR METHANE AND ANAEROBIC DIGESTION SYSTEM ,Blaygow Limited,"John Morris Ross, Cornelius Martin Lynch",2012-11-16,2013-11-15,2021-08-10,,https://patents.google.com/patent/BR112015011252B1/en,https://patentimages.storage.googleapis.com/89/4e/42/41f0de54bdcc32/img0003.png
